Frequency (MHz),m,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8
2.1,1,0.000698132,0.000829031,0.000829031,0.000698132,0.000698132,0.000698132,0.000959931,0.000916298
2.05,1,0.000785398,0.000785398,0.000610865,0.000785398,0.000829031,0.000829031,0.000785398,0.000654498
2,1,0.001003564,0.000741765,0.000785398,0.000872665,0.000872665,0.000698132,0.000916298,0.000872665
1.95,1,0.000436332,0.000698132,0.000741765,0.000785398,0.000698132,0.000698132,0.000785398,0.000698132
1.95,2,0.001003564,0.001614430,0.001352630,0.001483530,0.001396263,0.001570796,0.001396263,0.001483530
1.9,1,0.000654498,0.000567232,0.000523599,0.000872665,0.000785398,0.000785398,0.000698132,0.000741765
1.9,2,0.001308997,0.001439897,0.001003564,0.001439897,0.001570796,0.001483530,0.001614430,0.001439897
1.85,1,0.000741765,0.000829031,0.000654498,0.000741765,0.000741765,0.000741765,0.000610865,0.000785398
1.85,2,0.001352630,0.001701696,0.001439897,0.001265364,0.001308997,0.001483530,0.001352630,0.001527163
1.8,1,0.000436332,0.000785398,0.000654498,0.000523599,0.000654498,0.000872665,0.000698132,0.000654498
1.8,2,0.001090831,0.001614430,0.001308997,0.001265364,0.001439897,0.001439897,0.001439897,0.001352630
